Player,Pos,MP,PTS_per36,AST_per36,TRB_per36,eFG%,Cluster_K13
Jarrett Culver,SF,13.7,11.56204379562044,1.5766423357664234,9.985401459854014,0.407,4
Dario Šarić,C,13.7,19.445255474452555,2.3649635036496353,8.671532846715328,0.606,4
Nikola Jović,PF,13.6,14.558823529411764,1.852941176470588,5.5588235294117645,0.464,4
Jamal Cain,PF,13.3,14.616541353383457,1.894736842105263,7.849624060150376,0.614,4
Jaxson Hayes,C,13.0,13.846153846153847,1.9384615384615382,7.753846153846153,0.561,4
T.J. Warren,SF,12.3,12.292682926829267,2.0487804878048776,9.073170731707316,0.471,4
Eugene Omoruyi,SF,11.8,14.949152542372882,1.5254237288135593,7.016949152542372,0.511,4
Serge Ibaka,C,11.6,12.724137931034482,0.9310344827586207,8.689655172413792,0.537,4
Gorgui Dieng,C,11.5,12.208695652173912,5.321739130434783,10.956521739130435,0.474,4
Isaiah Roby,PF,11.3,13.061946902654865,2.8672566371681416,7.9646017699115035,0.49,4
Jabari Walker,SF,11.1,12.64864864864865,1.945945945945946,7.45945945945946,0.46,4
Anthony Gill,PF,10.6,11.20754716981132,2.0377358490566038,5.773584905660377,0.553,4
James Harden,PG,36.8,20.54347826086957,10.467391304347826,5.967391304347826,0.536,5
Fred VanVleet,PG,36.7,18.931880108991827,7.06267029972752,4.021798365122615,0.486,5
Dejounte Murray,SG,36.4,20.274725274725274,6.032967032967033,5.241758241758242,0.514,5
Darius Garland,PG,35.5,21.90422535211268,7.909859154929577,2.738028169014085,0.537,5
CJ McCollum,SG,35.3,21.31444759206799,5.813031161473089,4.487252124645893,0.515,5
Terry Rozier,SG,35.3,21.518413597733716,5.201133144475921,4.181303116147308,0.484,5
LaMelo Ball,PG,35.2,23.829545454545453,8.59090909090909,6.545454545454546,0.51,5
Anfernee Simons,SG,35.0,21.702857142857145,4.217142857142857,2.6742857142857144,0.548,5
Tyler Herro,SG,34.9,20.73352435530086,4.332378223495702,5.570200573065904,0.531,5
Spencer Dinwiddie,SG-PG,34.5,18.05217391304348,6.782608695652174,3.5478260869565212,0.524,5
Kevin Porter Jr.,PG,34.3,20.151603498542276,5.982507288629739,5.56268221574344,0.522,5
Spencer Dinwiddie,SG,34.1,18.686217008797655,5.595307917888563,3.272727272727273,0.555,5
Tyrese Haliburton,PG,33.6,22.178571428571427,11.142857142857142,3.9642857142857144,0.586,5
D'Angelo Russell,PG,32.9,19.58662613981763,6.784194528875381,3.3920972644376906,0.567,5
Jamal Murray,PG,32.8,21.951219512195124,6.8048780487804885,4.390243902439025,0.537,5
Jrue Holiday,PG,32.6,21.312883435582823,8.171779141104293,5.631901840490797,0.556,5
Jordan Clarkson,SG,32.6,22.969325153374232,4.858895705521473,4.41717791411043,0.519,5
D'Angelo Russell,PG,32.5,19.716923076923077,6.867692307692308,3.3230769230769233,0.572,5
Desmond Bane,SG,31.7,24.41640378548896,4.996845425867509,5.678233438485804,0.568,5
Jaden Ivey,SG,31.1,18.868167202572348,6.019292604501608,4.514469453376206,0.477,5
Devin Vassell,SG,31.0,21.483870967741936,4.180645161290323,4.5290322580645155,0.525,5
D'Angelo Russell,PG,30.9,20.271844660194173,7.106796116504854,3.378640776699029,0.588,5
Russell Westbrook,PG,30.2,18.834437086092716,9.059602649006623,5.841059602649008,0.538,5
Jordan Poole,PG,30.0,24.479999999999997,5.3999999999999995,3.24,0.514,5
Malcolm Brogdon,PG,26.0,20.63076923076923,5.123076923076923,5.815384615384616,0.574,5
Josh Richardson,SG,23.7,17.468354430379748,5.012658227848101,4.253164556962025,0.527,5
Malik Monk,SG,22.3,21.79372197309417,6.295964125560538,4.197309417040358,0.538,5
John Wall,PG,22.2,18.48648648648649,8.432432432432433,4.378378378378379,0.457,5
Cameron Payne,PG,20.2,18.356435643564357,8.01980198019802,3.920792079207921,0.49,5
Talen Horton-Tucker,SG,20.2,19.06930693069307,6.772277227722772,5.702970297029703,0.467,5
Bones Hyland,PG,19.5,22.338461538461537,5.538461538461538,3.692307692307692,0.503,5
Bones Hyland,PG,19.4,21.896907216494846,5.75257731958763,4.453608247422681,0.502,5
Bones Hyland,PG,18.9,20.571428571428573,6.476190476190477,6.666666666666667,0.496,5
Jaden Hardy,SG,14.8,21.405405405405407,3.4054054054054053,4.621621621621621,0.533,5
Kendrick Nunn,SG,14.1,19.148936170212764,4.595744680851064,4.340425531914893,0.543,5
Duane Washington Jr.,SG,12.7,22.393700787401578,5.669291338582677,3.4015748031496065,0.445,5
Derrick Rose,PG,12.5,16.128,4.896000000000001,4.32,0.443,5
Keon Johnson,SG,10.4,16.26923076923077,5.192307692307692,3.8076923076923075,0.455,5
Dorian Finney-Smith,PF,32.2,10.17391304347826,1.6770186335403725,5.254658385093167,0.54,6
Royce O'Neale,SF,31.7,9.993690851735018,4.201892744479496,5.79179810725552,0.524,6
Al Horford,C,30.5,11.567213114754098,3.540983606557377,7.3180327868852455,0.627,6
Dorian Finney-Smith,PF,30.4,9.828947368421055,1.7763157894736843,5.684210526315789,0.505,6
Reggie Bullock,SF,30.3,8.554455445544555,1.6633663366336633,4.2772277227722775,0.569,6
Quentin Grimes,SG,29.9,13.605351170568563,2.528428093645485,3.852842809364549,0.599,6
Caleb Martin,SF,29.3,11.795221843003413,1.9658703071672354,5.897610921501706,0.54,6
Corey Kispert,SF,28.3,14.120141342756183,1.526501766784452,3.5618374558303887,0.637,6
Patrick Williams,PF,28.3,12.975265017667843,1.526501766784452,5.088339222614842,0.549,6
Dorian Finney-Smith,PF,27.7,9.357400722021662,2.0794223826714804,6.368231046931409,0.448,6
Patrick Beverley,PG,27.5,7.592727272727273,4.581818181818181,6.414545454545455,0.5,6
Patrick Beverley,SG-PG,27.1,8.236162361623615,3.8523985239852396,4.915129151291513,0.511,6
Patrick Beverley,SG,26.9,8.565055762081785,3.479553903345725,4.148698884758365,0.517,6
Grant Williams,PF,25.9,11.258687258687258,2.362934362934363,6.393822393822394,0.575,6
P.J. Tucker,PF,25.6,4.921875,1.125,5.484375,0.549,6
Maxi Kleber,PF,25.1,8.46215139442231,2.0079681274900394,5.163346613545816,0.571,6
Torrey Craig,PF,24.7,10.785425101214575,2.1862348178137654,7.870445344129555,0.556,6
Gary Harris,SG,24.7,12.097165991902836,1.7489878542510122,2.91497975708502,0.603,6
Troy Brown Jr.,SF,24.5,10.432653061224489,1.9102040816326533,6.024489795918367,0.545,6
Pat Connaughton,SF,23.7,11.544303797468354,1.9746835443037976,6.987341772151899,0.521,6
Isaiah Livers,PF,23.1,10.441558441558442,1.2467532467532467,4.363636363636363,0.545,6
Nicolas Batum,PF,21.9,10.027397260273972,2.63013698630137,6.2465753424657535,0.583,6
Isaac Okoro,SF,21.7,10.617511520737327,1.8248847926267282,4.147465437788019,0.582,6
Luke Kennard,SG,20.7,13.565217391304348,1.9130434782608698,4.173913043478261,0.604,6
Joe Harris,SF,20.6,13.28155339805825,2.4466019417475726,3.8446601941747574,0.618,6
Ochai Agbaji,SG,20.5,13.873170731707317,1.931707317073171,3.6878048780487807,0.532,6
Dean Wade,PF,20.3,8.334975369458128,1.4187192118226601,6.029556650246305,0.54,6
Austin Rivers,SG,19.5,9.046153846153846,2.5846153846153843,2.953846153846154,0.538,6
Anthony Lamb,SF,19.3,12.49740932642487,2.7979274611398965,6.528497409326425,0.588,6
Chuma Okeke,SF,19.2,8.8125,2.625,6.75,0.459,6
Jae Crowder,PF,18.9,13.142857142857144,2.8571428571428577,7.238095238095239,0.606,6
Lamar Stevens,SF,18.1,10.541436464088397,0.9944751381215469,6.563535911602209,0.5,6
Nassir Little,SF,18.1,13.127071823204417,1.7900552486187844,5.171270718232044,0.538,6
David Roddy,PF,18.0,13.4,1.6,5.6,0.506,6
Duncan Robinson,SF,16.5,13.963636363636363,2.4,3.4909090909090907,0.504,6
Justin Holiday,SF,16.4,9.658536585365857,1.9756097560975612,3.9512195121951224,0.468,6
Rodney McGruder,SG,16.4,12.51219512195122,1.9756097560975612,5.048780487804878,0.543,6
Mike Muscala,C,16.2,13.111111111111114,1.3333333333333333,7.555555555555556,0.612,6
Sam Hauser,SF,16.1,14.310559006211179,2.012422360248447,5.813664596273292,0.631,6
Yuta Watanabe,SF,16.0,12.6,1.8,5.3999999999999995,0.621,6
Caleb Houstan,SF,15.9,8.60377358490566,1.3584905660377358,4.30188679245283,0.489,6
Wesley Matthews,SF,15.8,7.746835443037974,1.5949367088607593,5.012658227848101,0.484,6
Nickeil Alexander-Walker,SG,15.5,13.703225806451615,3.2516129032258063,4.180645161290323,0.488,6
Christian Braun,SG,15.5,10.916129032258064,1.8580645161290323,5.574193548387097,0.554,6
Ish Wainright,SF,15.3,9.882352941176471,2.1176470588235294,5.411764705882352,0.496,6
Justin Holiday,SF,15.3,10.588235294117647,2.1176470588235294,2.8235294117647056,0.49,6
Mike Muscala,C,15.0,14.639999999999999,1.9200000000000002,7.680000000000001,0.587,6
Vlatko Čančar,PF,14.8,12.162162162162161,3.1621621621621623,5.108108108108108,0.57,6
Justin Holiday,SF,14.7,11.020408163265307,2.2040816326530615,1.959183673469388,0.504,6
Ousmane Dieng,PF,14.6,12.082191780821919,2.958904109589041,6.657534246575343,0.492,6
Juancho Hernangómez,PF,14.6,7.150684931506849,1.4794520547945205,7.150684931506849,0.496,6
Mike Muscala,C,14.5,15.393103448275863,2.2344827586206897,7.696551724137931,0.576,6
Danuel House Jr.,SF,14.4,12.0,2.0,4.25,0.566,6
Kevin Knox,SF,14.1,14.297872340425531,1.021276595744681,6.638297872340426,0.589,6
Jared Rhoden,SG,14.1,8.170212765957448,0.7659574468085106,6.638297872340426,0.443,6
JT Thor,PF,14.0,9.77142857142857,1.2857142857142856,5.657142857142858,0.481,6
Kessler Edwards,SF,13.9,10.100719424460431,2.5899280575539567,5.438848920863309,0.543,6
Garrison Mathews,SG,13.4,12.895522388059701,1.3432835820895521,3.761194029850746,0.509,6
Lindy Waters III,SG,13.0,14.4,1.9384615384615382,4.984615384615385,0.556,6
Moses Moody,SG,13.0,13.292307692307691,2.2153846153846155,4.707692307692308,0.584,6
Frank Ntilikina,SG,12.9,8.093023255813954,3.3488372093023253,3.627906976744186,0.428,6
Garrison Mathews,SG,12.7,13.606299212598426,1.4173228346456692,3.968503937007874,0.52,6
Max Christie,SG,12.5,8.928,1.44,5.184000000000001,0.538,6
Amir Coffey,SF,12.5,9.792000000000002,3.168,3.168,0.424,6
Admiral Schofield,PF,12.2,12.393442622950822,2.360655737704918,5.0163934426229515,0.549,6
Jake LaRavia,PF,11.8,9.152542372881356,1.830508474576271,5.491525423728813,0.516,6
John Butler,C,11.6,7.448275862068965,1.8620689655172413,2.793103448275862,0.396,6
Dāvis Bertāns,PF,10.9,15.192660550458715,1.6513761467889907,3.9633027522935778,0.603,6
Matt Ryan,SF,10.8,13.0,1.0,4.0,0.439,6
Kessler Edwards,SF,10.7,9.42056074766355,2.0186915887850465,5.7196261682243,0.478,6
Markieff Morris,PF,10.6,12.226415094339623,3.056603773584906,7.471698113207548,0.524,6
Markieff Morris,PF,10.1,13.544554455445544,3.207920792079208,7.128712871287129,0.53,6
Josh Hart,SF,33.4,10.239520958083833,4.203592814371258,8.838323353293413,0.551,7
Josh Hart,SF,32.3,10.922600619195048,4.235294117647059,8.693498452012385,0.588,7
Draymond Green,PF,31.5,9.714285714285714,7.7714285714285705,8.228571428571428,0.57,7
Josh Hart,SF,30.0,12.239999999999998,4.32,8.4,0.672,7
Herbert Jones,PF,29.6,11.91891891891892,3.0405405405405403,4.986486486486486,0.525,7
Matisse Thybulle,SG,27.7,9.617328519855597,1.819494584837545,4.548736462093863,0.558,7
Justise Winslow,PF,26.8,9.134328358208956,4.567164179104478,6.716417910447761,0.444,7
Ben Simmons,PG,26.3,9.444866920152093,8.349809885931558,8.623574144486692,0.566,7
Delon Wright,PG,24.4,10.918032786885249,5.754098360655738,5.311475409836066,0.545,7
Jarred Vanderbilt,PF,24.1,11.800829875518673,3.5850622406639,11.203319502074688,0.58,7
Jarred Vanderbilt,PF,24.0,10.799999999999999,2.4,10.05,0.564,7
Alex Caruso,PG,23.5,8.578723404255319,4.4425531914893615,4.4425531914893615,0.551,7
Larry Nance Jr.,C,21.2,11.547169811320755,3.056603773584906,9.169811320754716,0.633,7
John Konchar,SF,20.8,8.826923076923075,2.423076923076923,7.442307692307692,0.525,7
Xavier Tillman Sr.,C,19.3,13.05699481865285,2.9844559585492227,9.32642487046632,0.621,7
Haywood Highsmith,PF,17.9,8.849162011173187,1.6089385474860338,7.039106145251397,0.516,7
Dyson Daniels,PG,17.7,7.728813559322034,4.677966101694915,6.508474576271188,0.483,7
Gary Payton II,SG,17.0,8.68235294117647,3.1764705882352944,5.5058823529411764,0.695,7
Matisse Thybulle,SF-SG,16.9,8.733727810650887,1.4911242603550297,4.260355029585799,0.542,7
Gary Payton II,SG,16.7,9.91616766467066,3.0179640718562872,6.682634730538923,0.688,7
Robert Covington,PF,16.2,13.333333333333334,2.6666666666666665,7.777777777777779,0.563,7
Juan Toscano-Anderson,SF,15.2,8.052631578947368,4.2631578947368425,6.86842105263158,0.429,7
Javonte Green,SF,15.0,12.48,1.6799999999999997,6.719999999999999,0.625,7
Thaddeus Young,PF,14.7,10.775510204081634,3.4285714285714284,7.591836734693878,0.561,7
Juan Toscano-Anderson,SF,13.5,8.0,3.466666666666667,6.4,0.476,7
Kevon Harris,SG,13.4,11.014925373134327,1.3432835820895521,5.64179104477612,0.514,7
Usman Garuba,C,12.9,8.372093023255815,2.511627906976744,11.441860465116278,0.554,7
Juan Toscano-Anderson,SF,12.2,7.967213114754099,2.360655737704918,5.901639344262295,0.53,7
Matisse Thybulle,SF,12.1,8.03305785123967,1.487603305785124,3.8677685950413223,0.522,7
Trent Forrest,SG,12.0,6.8999999999999995,5.1,4.8,0.417,7
Nerlens Noel,C,11.5,6.573913043478261,1.8782608695652172,8.45217391304348,0.375,7
Jonathan Isaac,PF,11.3,15.929203539823007,1.592920353982301,12.743362831858407,0.472,7
Nerlens Noel,C,10.9,7.5963302752293576,1.6513761467889907,8.587155963302752,0.417,7
Dru Smith,SG,10.5,9.942857142857143,5.142857142857142,5.485714285714286,0.456,7
Nic Claxton,C,29.9,15.17056856187291,2.2876254180602005,11.076923076923077,0.705,8
Ivica Zubac,C,28.6,13.594405594405593,1.2587412587412585,12.461538461538462,0.634,8
Steven Adams,C,27.0,11.466666666666665,3.0666666666666664,15.333333333333334,0.597,8
Mitchell Robinson,C,27.0,9.866666666666667,1.2,12.533333333333333,0.671,8
Jalen Duren,C,24.9,13.156626506024097,1.5903614457831328,12.867469879518074,0.648,8
Kevon Looney,C,23.9,10.543933054393307,3.765690376569038,14.008368200836824,0.63,8
Robert Williams,C,23.5,12.25531914893617,2.1446808510638298,12.714893617021277,0.747,8
Onyeka Okongwu,C,23.1,15.428571428571427,1.5584415584415583,11.220779220779221,0.642,8
Walker Kessler,C,23.0,14.399999999999999,1.4086956521739131,13.147826086956522,0.721,8
Daniel Gafford,C,20.6,15.728155339805824,1.9223300970873787,9.78640776699029,0.732,8
Drew Eubanks,C,20.3,11.704433497536945,2.305418719211823,9.576354679802956,0.651,8
Mason Plumlee,C,19.9,13.5678391959799,3.075376884422111,12.48241206030151,0.727,8
Isaiah Hartenstein,C,19.8,9.090909090909092,2.1818181818181817,11.818181818181818,0.547,8
Dwight Powell,C,19.2,12.562500000000002,1.6875,7.6875,0.732,8
Nick Richards,C,18.7,15.786096256684491,1.1550802139037435,12.320855614973263,0.631,8
Isaiah Jackson,C,16.5,15.70909090909091,1.7454545454545454,9.818181818181817,0.566,8
Jericho Sims,C,15.6,7.846153846153847,1.153846153846154,10.846153846153847,0.776,8
Wenyen Gabriel,C,15.1,13.112582781456954,1.1920529801324504,10.013245033112584,0.615,8
Goga Bitadze,C,15.0,13.92,2.88,12.48,0.589,8
DeAndre Jordan,C,15.0,12.239999999999998,2.16,12.48,0.77,8
Dominick Barlow,PF,14.6,9.616438356164384,2.219178082191781,8.876712328767123,0.535,8
Charles Bassey,C,14.5,14.151724137931035,3.2275862068965515,13.655172413793103,0.656,8
Bismack Biyombo,C,14.3,10.825174825174825,2.2657342657342654,10.825174825174825,0.578,8
Christian Koloko,C,13.8,8.08695652173913,1.3043478260869565,7.565217391304348,0.483,8
Orlando Robinson,C,13.7,9.722627737226277,2.102189781021898,10.773722627737225,0.528,8
Xavier Cooks,PF,12.6,10.857142857142856,1.7142857142857142,10.857142857142856,0.607,8
Goga Bitadze,C,12.0,13.200000000000001,3.0,10.799999999999999,0.576,8
Kai Jones,C,12.0,10.2,0.8999999999999999,8.1,0.575,8
Bruno Fernando,C,11.7,12.615384615384615,3.076923076923077,12.000000000000002,0.516,8
Luke Kornet,C,11.7,11.692307692307693,2.4615384615384617,8.923076923076923,0.674,8
Damian Jones,C,11.6,10.862068965517242,1.2413793103448276,9.310344827586208,0.698,8
Day'Ron Sharpe,C,11.5,14.71304347826087,2.5043478260869567,13.147826086956522,0.561,8
Paul Reed,C,10.9,13.871559633027523,1.3211009174311927,12.55045871559633,0.596,8
Bruno Fernando,C,10.4,13.5,2.769230769230769,12.115384615384615,0.527,8
Udoka Azubuike,C,10.0,12.6,1.08,11.879999999999999,0.819,8
Kevin Durant,PF,36.0,29.7,5.3,6.7,0.607,9
Shai Gilgeous-Alexander,PG,35.5,31.842253521126757,5.577464788732394,4.867605633802817,0.531,9
Joel Embiid,C,34.6,34.43930635838151,4.369942196531792,10.612716763005778,0.573,9
Anthony Davis,C,34.0,27.423529411764704,2.7529411764705882,13.23529411764706,0.573,9
Nikola Jokić,C,33.7,26.172106824925812,10.468842729970326,12.6053412462908,0.66,9
Jimmy Butler,PF,33.4,24.682634730538922,5.712574850299402,6.359281437125748,0.56,9
Zion Williamson,PF,33.0,28.363636363636363,5.018181818181818,7.636363636363637,0.615,9
Giannis Antetokounmpo,PF,32.1,34.87850467289719,6.392523364485981,13.233644859813083,0.572,9
Ja Morant,PG,31.9,29.56739811912226,9.141065830721002,6.6583072100313485,0.504,9
Kyrie Irving,PG-SG,37.4,26.085561497326207,5.294117647058823,4.909090909090908,0.572,10
Pascal Siakam,PF,37.4,23.294117647058826,5.5828877005347595,7.508021390374331,0.515,10
Kyrie Irving,PG,37.0,26.36756756756757,5.156756756756757,4.962162162162161,0.565,10
Anthony Edwards,SG,36.0,24.6,4.4,5.799999999999999,0.528,10
Jaylen Brown,SF,35.9,26.674094707520894,3.5097493036211698,6.919220055710307,0.55,10
Donovan Mitchell,SG,35.8,28.458100558659222,4.424581005586593,4.324022346368715,0.572,10
Kevin Durant,PF,35.6,29.426966292134832,5.056179775280898,6.775280898876404,0.614,10
Julius Randle,PF,35.5,25.453521126760567,4.157746478873239,10.140845070422536,0.536,10
LeBron James,PF,35.5,29.307042253521125,6.895774647887324,8.416901408450705,0.549,10
Kyle Kuzma,PF,35.0,21.805714285714284,3.805714285714286,7.405714285714286,0.518,10
Paul George,SF,34.6,24.763005780346823,5.306358381502889,6.3468208092485545,0.536,10
Devin Booker,SG,34.6,28.92485549132948,5.722543352601156,4.682080924855491,0.546,10
Lauri Markkanen,PF,34.4,26.79069767441861,1.9883720930232558,9.0,0.586,10
Brandon Ingram,SF,34.2,25.999999999999996,6.105263157894736,5.789473684210526,0.522,10
Paolo Banchero,PF,33.8,21.301775147928996,3.9408284023668645,7.349112426035504,0.465,10
Kawhi Leonard,SF,33.6,25.5,4.178571428571428,6.9642857142857135,0.572,10
Bradley Beal,SG,33.5,24.931343283582088,5.802985074626866,4.191044776119403,0.551,10
De'Aaron Fox,PG,33.4,26.94610778443114,6.574850299401198,4.526946107784432,0.557,10
Cade Cunningham,PG,33.3,21.513513513513512,6.486486486486487,6.7027027027027035,0.453,10
Karl-Anthony Towns,PF,33.0,22.690909090909095,5.236363636363636,8.836363636363636,0.565,10
Kristaps Porziņģis,C,32.6,25.619631901840492,2.98159509202454,9.276073619631902,0.565,10
Josh Giddey,PF,31.1,19.215434083601288,7.176848874598071,9.144694533762058,0.516,10
Russell Westbrook,PG,29.1,19.670103092783503,9.278350515463917,7.175257731958762,0.481,10
Russell Westbrook,PG,28.7,19.94425087108014,9.40766550522648,7.7770034843205575,0.46,10
Khris Middleton,SF,24.3,22.370370370370367,7.2592592592592595,6.222222222222221,0.499,10
Mikal Bridges,SF,36.4,17.01098901098901,3.5604395604395607,4.252747252747253,0.529,11
OG Anunoby,SF,35.6,16.98876404494382,2.0224719101123596,5.056179775280898,0.556,11
Spencer Dinwiddie,PG,35.3,16.827195467422097,9.280453257790368,4.181303116147308,0.465,11
Scottie Barnes,SF,34.8,15.827586206896553,4.9655172413793105,6.8275862068965525,0.487,11
Chris Paul,PG,32.0,15.637500000000001,10.012500000000001,4.8374999999999995,0.513,11
Gordon Hayward,SF,31.5,16.799999999999997,4.685714285714285,4.914285714285714,0.52,11
Jalen Williams,SG,30.3,16.75247524752475,3.9207920792079203,5.346534653465346,0.567,11
Dennis Schröder,PG,30.1,15.069767441860463,5.382059800664451,2.990033222591362,0.472,11
Markelle Fultz,PG,29.6,17.027027027027028,6.9324324324324325,4.743243243243243,0.534,11
Tre Jones,PG,29.2,15.904109589041097,8.136986301369863,4.438356164383562,0.489,11
Bruce Brown,SF,28.5,14.526315789473683,4.294736842105263,5.178947368421052,0.545,11
Kyle Anderson,PF,28.4,11.91549295774648,6.211267605633804,6.71830985915493,0.553,11
Killian Hayes,PG,28.3,13.102473498233216,7.886925795053004,3.6890459363957593,0.426,11
Cole Anthony,PG,25.9,18.06949806949807,5.420849420849421,6.671814671814672,0.516,11
Kris Dunn,PG,25.8,18.418604651162788,7.813953488372092,6.279069767441861,0.576,11
Dennis Smith Jr.,PG,25.7,12.32684824902724,6.723735408560311,4.342412451361867,0.438,11
Jalen Suggs,SG,23.5,15.16595744680851,4.4425531914893615,4.595744680851063,0.493,11
Naji Marshall,SF,23.3,14.06008583690987,3.8626609442060085,5.562231759656652,0.49,11
Shake Milton,SG,20.6,14.679611650485436,5.592233009708737,4.368932038834951,0.535,11
T.J. McConnell,PG,20.3,15.428571428571427,9.399014778325121,5.497536945812808,0.568,11
Théo Maledon,PG,19.4,12.432989690721651,6.494845360824743,5.195876288659794,0.457,11
Blake Wesley,SG,18.1,9.944751381215468,5.370165745856354,4.375690607734806,0.367,11
Jordan Goodwin,PG,17.8,13.348314606741571,5.460674157303371,6.6741573033707855,0.501,11
Saben Lee,PG,15.8,14.354430379746834,6.379746835443037,4.556962025316455,0.44,11
Saben Lee,PG,14.9,14.496644295302012,6.523489932885907,4.348993288590604,0.45,11
Nickeil Alexander-Walker,SG,14.7,15.42857142857143,5.142857142857143,3.918367346938776,0.591,11
Edmond Sumner,SG,13.9,18.38848920863309,3.366906474820144,3.884892086330935,0.519,11
McKinley Wright IV,PG,12.4,12.193548387096776,6.096774193548388,4.935483870967742,0.515,11
Josh Christopher,SG,12.3,16.97560975609756,3.2195121951219514,3.2195121951219514,0.497,11
Jayson Tatum,SF,36.9,29.36585365853659,4.48780487804878,8.585365853658537,0.543,12
Damian Lillard,PG,36.3,31.933884297520667,7.239669421487603,4.760330578512397,0.564,12
Luka Dončić,PG,36.2,32.22099447513812,7.955801104972375,8.552486187845304,0.56,12
Trae Young,PG,34.8,27.10344827586207,10.551724137931036,3.1034482758620694,0.485,12
Stephen Curry,PG,34.7,30.5014409221902,6.536023054755043,6.328530259365993,0.614,12
